60-40,250,60,500,44.80
60-40,250,60,750,45.90
60-40,250,60,1000,46.80
60-40,250,70,500,45.95
60-40,250,70,750,46.88
60-40,250,70,1000,47.89
60-40,250,80,500,43.80
60-40,250,80,750,44.75
60-40,250,80,1000,45.58
60-40,500,60,500,41.85
60-40,500,60,750,42.77
60-40,500,60,1000,43.33
60-40,500,70,500,40.55
60-40,500,70,750,41.22
60-40,500,70,1000,42.33
60-40,500,80,500,39.33
60-40,500,80,750,40.25
60-40,500,80,1000,42.55
60-40,1000,60,500,43.44
60-40,1000,60,750,44.89
60-40,1000,60,1000,45.92
60-40,1000,70,500,41.99
60-40,1000,70,750,42.35
60-40,1000,70,1000,43.85
60-40,1000,80,500,45.89
60-40,1000,80,750,46.99
60-40,1000,80,1000,47.65
70-30,250,60,500,40.85
70-30,250,60,750,41.77
70-30,250,60,1000,42.85
70-30,250,70,500,38.85
70-30,250,70,750,39.85
70-30,250,70,1000,40.55
70-30,250,80,500,40.54
70-30,250,80,750,41.52
70-30,250,80,1000,42.38
70-30,500,60,500,40.68
70-30,500,60,750,41.44
70-30,500,60,1000,43.58
70-30,500,70,500,38.55
70-30,500,70,750,39.25
70-30,500,70,1000,40.58
70-30,500,80,500,39, 1
70-30,500,80,750,40.32
70-30,500,80,1000,41.55
70-30,1000,60,500,42.85
70-30,1000,60,750,43.55
70-30,1000,60,1000,44.58
70-30,1000,70,500,38.25
70-30,1000,70,750,39.42
70-30,1000,70,1000,40.22
70-30,1000,80,500,40.58
70-30,1000,80,750,41.39
70-30,1000,80,1000,42.89
