1,30,0,0.7345
1,30,45,0.4311
2,120,45,0.106
1,15,0,0.6942
2,120,0,0.5739
2,60,0,0.3592
1,0,45,2.6037
1,0,0,2.7116
1,30,0,0.5226
2,0,0,0.7447
2,0,0,0.8751
2,120,45,0.0633
2,0,0,0.8969
1,15,45,0.3332
2,60,0,0.4283
1,30,45,0.4966
1,0,0,2.6386
2,120,45,0.1017
1,0,45,0.1506
2,0,45,0.0146
2,60,45,0.1416
2,120,45,0.0752
1,15,45,0.4864
2,120,0,0.478
1,30,0,0.4725
1,15,45,0.4889
2,60,0,0.3748
1,0,45,0.2082
1,15,0,0.4305
2,60,0,0.4941
2,60,45,0.0575
2,60,45,0.083
1,0,45,0.2761
2,60,45,0.1206
1,0,45,0.3468
1,15,0,0.4491
1,30,0,0.521
1,0,0,2.3985
1,30,45,0.3124
2,0,45,0.3058
2,0,0,0.6365
1,30,45,0.3617
2,120,0,0.4847
1,15,45,0.4121
1,15,45,0.4536
2,0,45,0.2717
1,15,0,0.4288
1,30,0,0.7014
1,15,0,0.9569
1,0,0,1.9668
2,120,0,0.4052
2,120,45,0.0876
2,0,0,0.7225
2,60,45,0.1483
2,0,45,0.1791
2,0,45,0.2102
2,60,0,0.498
1,30,45,0.4546
1,0,0,2.2555
2,120,0,0.329
