1,30,0,88.5
1,30,45,89
2,120,45,84.5
1,15,0,91.5
2,120,0,70.5
2,60,0,72.5
1,0,45,83.5
1,0,0,87.5
1,30,0,86.5
2,0,0,41.5
2,0,0,42.5
2,120,45,85
2,0,0,49.5
1,15,45,88
2,60,0,74
1,30,45,88
1,0,0,80.5
2,120,45,85
1,0,45,84.5
2,0,45,40.5
2,60,45,74
2,120,45,85.5
1,15,45,88.5
2,120,0,74
1,30,0,77
1,15,45,87.5
2,60,0,75.5
1,0,45,84
1,15,0,92
2,60,0,79.5
2,60,45,73
2,60,45,73.5
1,0,45,83
2,60,45,74
1,0,45,83.5
1,15,0,90.5
1,30,0,86
1,0,0,82
1,30,45,88.5
2,0,45,41
2,0,0,47
1,30,45,89
2,120,0,84
1,15,45,87.5
1,15,45,88.5
2,0,45,40.5
1,15,0,89
1,30,0,91.5
1,15,0,79.5
1,0,0,86.5
2,120,0,85.5
2,120,45,86
2,0,0,53.5
2,60,45,73.5
2,0,45,41.5
2,0,45,42
2,60,0,86.5
1,30,45,88
1,0,0,84.5
2,120,0,74.5
