8,S4,Z1,5.0
8,S4,Z1,11.6
8,S4,Z1,26.1
8,S4,Z1,26.6
8,S4,Z1,34.8
7,S5,Z1,7.8
7,S5,Z1,23.0
10,S6,Z1,5.5
10,S6,Z1,9.6
10,S6,Z1,16.7
9,S5,Z1,32.4
8,S4,Z2,5.9
8,S4,Z2,11.9
8,S4,Z2,25.5
8,S4,Z2,25.1
8,S4,Z2,33.8
7,S5,Z2,8.4
7,S5,Z2,19.3
10,S6,Z2,5.2
10,S6,Z2,9.4
10,S6,Z2,16.8
9,S5,Z2,28.0
8,S4,Z3,7.0
8,S4,Z3,13.9
8,S4,Z3,25.6
8,S4,Z3,26.5
8,S4,Z3,34.5
7,S5,Z3,8.6
7,S5,Z3,20.3
10,S6,Z3,5.6
10,S6,Z3,9.4
10,S6,Z3,17.3
9,S5,Z3,26.6
8,S4,Z4,5.8
8,S4,Z4,12.8
8,S4,Z4,24.9
8,S4,Z4,25.7
8,S4,Z4,34.1
7,S5,Z4,8.1
7,S5,Z4,21.7
10,S6,Z4,5.2
10,S6,Z4,9.3
10,S6,Z4,15.1
9,S5,Z4,24.7
1d,Si,Zi,12.5
1d,Si,Zi,16.6
1d,Si,Zi,25.1
1d,Si,Zi,33.7
1d,Si,Zi,37.3
1d,Si,Zi,12.0
1d,Si,Zi,17.2
1d,Si,Zi,24.6
1d,Si,Zi,34.1
1d,Si,Zi,37.2
